X,Y
4.66779764,0
5.50919878,0
4.70279161,0
5.95670664,0
5.73862241,0
5.02728333,0
4.80543406,0
4.42568914,0
5.00936864,0
5.11671882,0
6.37091771,0
2.89504195,0
4.66684237,0
5.60215464,0
4.90279798,0
5.03265296,0
4.08397293,0
4.87552411,0
4.73280105,0
5.38599341,0
20.7439351,1
21.4175286,1
20.5792419,1
20.7386947,1
19.4460538,1
18.3636027,1
19.9036323,1
19.1087085,1
18.1878759,1
19.7176761,1
19.0962903,1
20.5274131,1
20.6320561,1
19.8621812,1
21.3467057,1
20.333906,1
21.0271486,1
18.2753609,1
21.7737116,1
20.6595355,1